Pos.,No.,Name,Team,Laps,Time/Gap
1,23,OMGCA,xTacing OFCR Team,30,38:50.282
2,22,smallbubble,NorthernChina Racing,30,+7.980
3,21,lovepes2010,Audi Sport Team FlyingBird,30,+31.752
4,15,wagonggong,Team Russian Poisonous Milk,29,+1 Lap(s)
5,99,DumiBirdF,Audi Sport Team FlyingBird,27,+3 Lap(s)
6,17,Eskwen,Team Russian Poisonous Milk,26,+4 Lap(s)
7,54,bob,SPR,24,+6 Lap(s)
8,60,Superflycar,KST,6,DNF
9,48,Parker Chen,Shanghai Power Racing,4,DNF
10,0,ghgyyukg,Safety Car,2,DNF
11,12,KneYka,xTacing OFCR Team,1,DNF
